timestamp,tipo,mensagem,severidade,arquivo,processo
2025-11-28T17:32:25.790477,INFO_ARQUIVO,Arquivo /etc/passwd verificado,BAIXA,/etc/passwd,
2025-11-28T17:32:25.790714,INFO_ARQUIVO,Arquivo /etc/hosts verificado,BAIXA,/etc/hosts,
2025-11-28T17:32:25.792102,INFO_ARQUIVO,Arquivo /etc/ssh/sshd_config verificado,BAIXA,/etc/ssh/sshd_config,
